course,type/info,day+time,location,enrollment,Instructor
BIOL&nbsp; 103 - 017&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 10:00 - 11:30,BIOSCI RM2320,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 018&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 10:00 - 11:30,BIOSCI RM2325,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 019&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Tu 10:00 - 11:30,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 020&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 08:30 - 10:00,BIOSCI RM2326,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 021&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 08:30 - 10:00,BIOSCI RM2320,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 022&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 08:30 - 10:00,BIOSCI RM2325,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 023&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 08:30 - 10:00,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 024&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 10:00 - 11:30,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 025&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 10:00 - 11:30,BIOSCI RM2320,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 026&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 10:00 - 11:30,BIOSCI RM2325,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 027&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,We 10:00 - 11:30,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 028&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 08:30 - 10:00,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 029&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 08:30 - 10:00,BIOSCI RM2320,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

